"user_id","username","full_name","street_address","state","zipcode","email","phone","order_id","total_item","shipping_fee","tax","total_cost","order_date","delivery_date","delivery_status"
"130","Max28","Max Cannon","877 Hernandez Terrace Apt. 663Holtview","FL","21311","radams@tran.net","01632 960 268","1030","3","13","0.86","28.01","2018-10-12","2018-12-17","0"
"132","Richard03","Richard Snyder","354 Chavez Loop Apt. 647Hillton","SC","28271","julie02@robertson.com","+44(0)1214960396","1032","8","8","0.49","45.6","2018-10-12","2018-12-27","0"
"133","Emily19","Emily Lopez","81245 Williams GreenEast Sarah","TX","83442","billy79@hotmail.com","+443069990704","1033","3","15","0.08","97.22","2018-10-23","2018-11-22","1"
"134","Nicole16","Nicole Adams","49016 James BurgSouth Michaelside","UT","62731","tracykeith@hotmail.com","029 2018 0844","1034","3","19","0.75","22.7","2018-10-19","2018-12-30","1"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1039","7","11","0.51","39.22","2018-10-19","2018-12-24","1"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1036","5","18","0.53","33.15","2018-10-16","2018-12-04","0"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1043","4","18","0.57","96.09","2018-10-02","2018-12-09","0"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1035","3","13","0.64","87.34","2018-10-10","2018-12-15","1"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1044","6","12","0.41","26.49","2018-10-11","2018-12-23","0"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1045","5","8","0.42","22.87","2018-10-28","2018-11-25","1"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1040","8","10","0.27","71.54","2018-10-30","2018-11-24","1"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1042","6","25","0.04","80.11","2018-10-08","2018-11-09","0"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1037","6","14","0.8","78.94","2018-10-12","2018-11-25","0"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1041","4","24","0.49","92.1","2018-10-13","2018-12-16","1"
"135","Kelly24","Kelly Morse","172 Samuel PineLake Edwardchester","MD","11585","sandersrichard@petersen-myers.com","+44121 496 0976","1038","9","10","0.35","72.07","2018-10-17","2018-11-30","1"
"136","Jorge18","Jorge Murray","200 Shannon Points Apt. 926Torresstad","RI","77837","fernandezsamantha@fischer.com","01614960557","0","0","0","0","0","","","0"
"137","Marvin10","Marvin Gonzalez","6168 Moore Key Suite 280South Ryan","LA","74515","ericgray@hotmail.com","+441144960496","0","0","0","0","0","","","0"
"138","Jennifer23","Jennifer Fox","5687 Nichole Falls Apt. 089Graceside","MO","20169","adriennelewis@hotmail.com","+44113 496 0498","0","0","0","0","0","","","0"
"139","Amy03","Amy Peterson","809 Thompson RadialFordport","MI","22464","amanda79@daugherty.com","(0121) 4960193","0","0","0","0","0","","","0"
"140","Jason04","Jason Rogers","53396 Ryan Prairie Apt. 633Lake Brandonland","ME","82465","audreydixon@richardson-davis.net","+44117 496 0498","0","0","0","0","0","","","0"
"141","Stacie16","Stacie Smith","43204 Davis Overpass Apt. 468South Ross","OR","84084","connorrobertson@williams.com","0151 496 0252","0","0","0","0","0","","","0"
"142","Rodney16","Rodney Waller","7145 Williams Skyway Apt. 947Port Alicia","WY","50749","ryan94@gmail.com","+44(0)117 4960586","0","0","0","0","0","","","0"
"143","Christy18","Christy Yang","1842 Atkinson TrailNew Jennifer","MS","23726","teresahernandez@gmail.com","0117 496 0913","0","0","0","0","0","","","0"
"144","Derek28","Derek Morgan","626 William HarborsPort Diane","NY","42458","joshua47@chandler.com","0289018553","0","0","0","0","0","","","0"
"145","Christopher10","Christopher Lucero","6474 Kimberly SquaresKaratown","KY","35742","kcooper@montoya.com","+44121 496 0540","0","0","0","0","0","","","0"
"146","Mr.17","Mr. Richard Perkins","943 Reyes Lodge Apt. 712New Gailmouth","FL","57771","leonkelly@maldonado.com","0121 4960111","1046","5","15","0.24","78.93","2018-10-22","2018-11-12","1"
"147","Keith20","Keith Parker","5023 Gonzalez MountainsKennedyview","ND","09900","zachary80@yahoo.com","+44(0)306 999 0122","1047","3","25","0.33","41.38","2018-10-22","2018-12-16","1"
"148","Mark14","Mark Campbell","40702 Macdonald HarborPort Keith","MO","67212","zjones@hotmail.com","(0191) 496 0213","1048","5","28","0.36","73.86","2018-10-19","2018-11-28","1"
"149","James26","James Mcdonald","34141 Nicole PassTerrybury","MT","19776","michael14@hotmail.com","+441164960671","1049","2","18","0.8","79.53","2018-10-21","2018-12-04","0"
"150","April28","April Jackson","7493 Darrell Club Suite 326Port Lesliehaven","MI","55015","tmartinez@wood.org","(0113) 496 0091","1050","2","5","0.99","43.85","2018-10-20","2018-12-22","1"
"151","Mackenzie06","Mackenzie Wiley","98334 Kaitlin Oval Suite 006Erinfort","DE","64341","john16@gmail.com","09098790916","1051","8","12","0.53","64.91","2018-10-12","2018-12-26","0"
"153","Tyler26","Tyler Bishop","91794 Anderson FallsAlejandrobury","NC","59059","sarahmartin@morris.org","+44(0)121 496 0605","1053","7","23","0.97","43.92","2018-10-14","2018-12-09","1"
"154","James14","James Ho","32762 Sonya Grove Suite 443Tinamouth","MO","86768","yjones@hotmail.com","020 74960688","1054","2","20","0.13","28.86","2018-10-30","2018-11-11","0"
"155","David21","David Davis","702 Isaac Freeway Suite 521Laurenberg","AL","25171","taylorjoyce@hotmail.com","+44117 4960294","1055","10","30","0.08","39.96","2018-10-23","2018-12-18","1"
"156","Wyatt06","Wyatt Mullen","11887 Salas Plaza Suite 858Kelleyview","DE","49509","christina41@scott-miller.com","+44(0)161 496 0039","1056","4","29","0.53","61.73","2018-10-09","2018-11-10","0"
"157","Deborah11","Deborah Neal","6735 Burnett StationWest Coreybury","FL","07687","darryl21@hotmail.com","(0118) 4960932","1057","8","7","0.63","38.04","2018-10-04","2018-12-01","1"
"159","Jason01","Jason Mcconnell","930 Mendoza Fall Suite 873Johnstonville","KY","19214","jessica22@gmail.com","(0306) 999 0585","1059","9","26","0.5","82.05","2018-10-27","2018-12-20","0"
"160","Amanda25","Amanda Orozco","34842 Matthew TrailLake Jessica","PA","77157","parsonskristine@hotmail.com","+44(0)116 4960073","1060","5","7","0.0","97.96","2018-10-30","2018-11-19","0"
"161","Marc05","Marc Arnold","7722 Robin Terrace Apt. 253North Kristytown","NE","41417","melinda64@richardson.info","(0114)4960696","1061","1","22","0.43","98.48","2018-10-01","2018-11-07","0"
"162","Lisa23","Lisa Miller","54817 Palmer Plain Apt. 102Dianaberg","NY","81285","matthew01@yahoo.com","+441414960466","1062","7","13","0.26","22.22","2018-10-28","2018-12-04","1"
"163","Randy07","Randy Mcconnell","97501 Reed MewsKochtown","CT","07086","laurenjohnson@yahoo.com","+4420 7496 0713","1063","7","11","0.55","89.99","2018-10-07","2018-12-06","0"
"164","Robert31","Robert Clark","385 Steven Throughway Apt. 712Lake Sherri","MN","40208","robertmolina@booth.com","(0131)4960563","1064","7","30","1.0","84.25","2018-10-18","2018-12-10","1"
"166","Nicholas07","Nicholas Stewart","302 Perry Tunnel Apt. 283South Justinfurt","AK","27267","pagegary@hotmail.com","+44(0)1154960116","1066","10","7","0.2","59.74","2018-10-09","2018-11-28","0"
"167","Anthony11","Anthony Freeman","4620 Tommy TrailEast Jessehaven","NH","03871","john16@gmail.com","0113 496 0718","1067","9","24","0.35","82.42","2018-10-05","2018-11-17","1"
"169","Manuel16","Manuel Brown","7306 Courtney TerraceNicholaston","NJ","80709","colleenmorgan@yahoo.com","(0808)1570704","0","0","0","0","0","","","0"
"170","Linda02","Linda Shaw","76223 John CommonNorth David","AK","98308","normanruben@sheppard.org","028 9018868","0","0","0","0","0","","","0"
"171","Yolanda11","Yolanda Fritz","76987 Lisa IsleEvanschester","NY","34320","smithjonathan@taylor-hampton.com","+44(0)29 2018 0499","0","0","0","0","0","","","0"
"172","Derrick28","Derrick Mckay","5623 Marissa Ports Suite 750Rebeccaborough","ME","99908","michaelwells@gmail.com","0808 157 0434","0","0","0","0","0","","","0"
"173","Kenneth26","Kenneth Jones","991 Johnson FerrySouth Kristenbury","RI","63933","williamsbianca@hotmail.com","01214960320","0","0","0","0","0","","","0"
"174","Jonathan22","Jonathan Sanchez","779 Lozano GreenPort Jesus","WV","49936","joshua76@porter-martinez.com","+44(0)28 9018 0483","0","0","0","0","0","","","0"
"175","Tristan19","Tristan Young","68078 Nunez FortEast Christineshire","AR","12526","joseph10@gmail.com","0292018774","0","0","0","0","0","","","0"
"176","Nathan14","Nathan Schmidt","204 Brianna Overpass Suite 345East Christopher","PA","38417","rbrown@allen.biz","(029) 2018402","0","0","0","0","0","","","0"
"177","Amy30","Amy Griffin","06834 Lori Streets Apt. 604Silvafort","IN","58521","livingstonrhonda@hotmail.com","(01632)960667","0","0","0","0","0","","","0"
"178","Elizabeth08","Elizabeth Griffin","611 John Crescent Suite 960Port Whitney","PA","84756","david65@torres.info","+441914960577","0","0","0","0","0","","","0"
"179","Brian28","Brian Garcia","445 Mejia WellsJustinland","MN","62595","priceanthony@barker-olson.net","+44(0)289018297","0","0","0","0","0","","","0"
"180","Kathleen26","Kathleen King","52214 Hernandez RouteRachelmouth","NV","64886","stacyleblanc@yahoo.com","+44(0)1632 960298","0","0","0","0","0","","","0"
"181","Christopher24","Christopher Cook","02941 Kevin Junctions Apt. 602Leeborough","MA","19018","lauren17@gmail.com","+442074960439","0","0","0","0","0","","","0"
"182","Melissa27","Melissa George","241 Castaneda Tunnel Suite 642Port Tylerport","MT","37598","neverett@gmail.com","+44(0)1164960661","0","0","0","0","0","","","0"
"183","Richard06","Richard Williams","00352 Boyer Manor Apt. 738Murraymouth","TX","86591","sydneymays@yahoo.com","+44(0)1514960917","0","0","0","0","0","","","0"
"184","Jennifer03","Jennifer Griffin","63751 Olivia CrossroadChanville","MA","30814","michelle20@miles-grant.org","+44(0)115 4960725","0","0","0","0","0","","","0"
"186","Cynthia23","Cynthia Mitchell","583 Peters UnionsCaitlinfort","IL","14462","greerstacy@fowler.info","(0117) 4960570","1086","8","18","0.29","91.9","2018-10-30","2018-11-28","1"
"187","Mary10","Mary Newman","43388 Christopher Motorway Apt. 468Anneport","AL","19670","jessica44@yahoo.com","+448081570346","1087","1","6","0.01","66.67","2018-10-10","2018-11-21","1"
"188","Nicole21","Nicole Graham","828 Cunningham Well Suite 427Maciaschester","ME","44883","arodriguez@gmail.com","+44118 496 0246","1088","4","27","0.33","60.84","2018-10-30","2018-12-28","0"
"189","Chris28","Chris Wallace","943 Paige PortsGallegoston","OK","42846","ubrown@yahoo.com","0808 157 0626","1089","1","26","0.4","65.02","2018-10-17","2018-12-14","0"
"190","Heidi04","Heidi Weiss","909 Kathryn GardensSouth Ernest","MN","18892","morrowjessica@hotmail.com","+4428 9018 0901","1090","1","23","0.46","35.79","2018-10-27","2018-11-10","1"
"191","Anthony24","Anthony Lambert","51415 Lewis Cliff Suite 612New Todd","GA","37016","hwatkins@rodriguez-mccoy.com","+44(0)9098790418","1091","5","5","0.97","84.43","2018-10-24","2018-12-23","1"
"192","Jason09","Jason Poole","1435 Perez Forks Suite 645Port Keith","AR","57275","deanna76@gmail.com","(029) 2018 0292","1092","9","5","0.37","44.93","2018-10-17","2018-11-07","0"
"193","Jennifer14","Jennifer Adams","879 Thompson Radial Apt. 736Leeburgh","NM","32055","ellennorris@hotmail.com","+44151 496 0490","1093","1","14","0.71","99.77","2018-10-17","2018-11-02","1"
"194","Mr.31","Mr. Robert Huff","943 Arthur HarborWest Phillipbury","AK","59869","nicolepruitt@yahoo.com","+44289018352","1094","4","12","0.0","85.02","2018-10-18","2018-11-14","1"
"195","Maurice30","Maurice Williams","901 Norman Stream Apt. 617New Sherryburgh","NV","95875","joneskaitlin@bullock.org","(0113) 4960341","1095","4","26","0.61","41.11","2018-10-27","2018-11-06","0"
"196","Kathy22","Kathy Cook","14425 Lori Pine Apt. 188Port John","AR","03012","lynn85@suarez.com","0161 496 0347","1096","8","14","0.63","94.34","2018-10-05","2018-11-24","1"
"197","George10","George Young","73529 Richard ManorsThomasview","KS","92430","crussell@gmail.com","+44151 4960759","1097","8","16","0.89","41.9","2018-10-26","2018-11-26","0"
"198","Rebecca24","Rebecca Mcintyre","703 Smith Crossing Suite 631Christopherfurt","WI","86160","burnsdestiny@anderson.com","+44(0)29 2018268","1098","4","14","0.31","40.86","2018-10-23","2018-11-13","1"
"199","Patrick15","Patrick Wells","412 Burns IslandsPort Sharonville","UT","74562","longricky@wilson.com","028 9018 0943","1099","7","8","0.88","51.33","2018-10-03","2018-11-18","1"
"200","Heather20","Heather Glover","77399 Ortiz LaneAnnettechester","NY","56150","johnbailey@perez.net","+44909 879 0906","1100","10","11","0.09","54.03","2018-10-09","2018-11-23","1"
"201","Jeffery08","Jeffery Nguyen","360 Jessica SummitCooperborough","VA","70522","nathan80@gardner.biz","+44141 496 0603","1101","10","5","0.58","40.37","2018-10-23","2018-12-07","0"
"202","Diana11","Diana Young DVM","6894 Wood Point Apt. 324Johnstonstad","MN","82096","calvin22@yahoo.com","(0151) 496 0063","1102","10","21","0.64","60.94","2018-10-26","2018-12-08","0"
"203","David30","David Love","74369 Green HarborsSouth Joseph","MS","58989","glenn25@mcintosh.com","+44(0)306 999 0008","1103","1","10","0.95","81.44","2018-10-12","2018-11-05","0"
"204","Shannon19","Shannon Brock","9468 Avila TunnelWest Sergio","NH","81100","davidarnold@murphy-dunlap.biz","+44(0)1134960425","1105","8","11","0.94","38.21","2018-10-10","2018-12-15","0"
"204","Shannon19","Shannon Brock","9468 Avila TunnelWest Sergio","NH","81100","davidarnold@murphy-dunlap.biz","+44(0)1134960425","1108","4","16","0.84","67.95","2018-10-10","2018-12-25","1"
"204","Shannon19","Shannon Brock","9468 Avila TunnelWest Sergio","NH","81100","davidarnold@murphy-dunlap.biz","+44(0)1134960425","1104","3","22","0.71","55.37","2018-10-22","2018-11-18","0"
"204","Shannon19","Shannon Brock","9468 Avila TunnelWest Sergio","NH","81100","davidarnold@murphy-dunlap.biz","+44(0)1134960425","1106","5","23","0.12","46.2","2018-10-27","2018-11-21","1"
"204","Shannon19","Shannon Brock","9468 Avila TunnelWest Sergio","NH","81100","davidarnold@murphy-dunlap.biz","+44(0)1134960425","1107","3","24","0.85","53.96","2018-10-25","2018-12-25","1"
"206","Katherine27","Katherine Black","286 Brian SkywayJasonfurt","NY","44433","stephenbrown@gmail.com","(020) 74960687","0","0","0","0","0","","","0"
"207","Thomas15","Thomas Romero","1502 Chavez Trail Suite 187North Stephaniechester","TN","34057","chapmanrichard@johns.biz","+441134960742","0","0","0","0","0","","","0"
"208","Joseph09","Joseph Thomas","3937 James Hill Suite 227South Aaron","AK","42583","denisegonzales@brooks-lewis.biz","029 2018903","0","0","0","0","0","","","0"
"209","Tiffany22","Tiffany Holloway","5513 Ramirez VistaEast Darrenfort","MS","13942","austindawn@hotmail.com","01154960181","1109","3","9","0.84","91.2","2018-10-05","2018-11-11","1"
"211","Nicole13","Nicole Burke","29959 Austin Trail Suite 721New Amanda","NE","30365","andrew82@chan.net","+44(0)9098790594","1111","5","5","0.24","23.18","2018-10-13","2018-12-11","1"
"212","Sherry08","Sherry Davis","98532 William Expressway Apt. 254Port Davidland","NJ","05868","robin39@hotmail.com","+44(0)131 496 0283","1112","7","9","0.35","27.89","2018-10-23","2018-11-18","1"
"213","Daniel12","Daniel Berry","843 Anderson FieldsTheresatown","NV","05717","jacksonkimberly@perez-king.com","0116 496 0669","1113","8","7","0.89","78.08","2018-10-05","2018-12-12","1"
"214","Margaret26","Margaret Boyle","330 Mendez Cliffs Suite 011South Michael","NC","70749","timothyburns@yahoo.com","+44(0)1614960769","1114","8","7","0.75","77.87","2018-10-27","2018-11-24","1"
"215","Crystal02","Crystal Holloway","696 Chambers TrailLake Vincentberg","NC","01873","josevaughan@simpson-aguirre.com","+44118 496 0528","1115","5","14","0.48","32.33","2018-10-26","2018-12-18","1"
"216","Bryan29","Bryan Santiago","917 Aguirre Pines Apt. 904Lucasborough","NE","60974","jenniferritter@gmail.com","(0909)8790124","1116","3","17","0.3","31.5","2018-10-07","2018-11-01","0"
"217","Steven31","Steven Morton","238 Diana PrairieThompsonton","FL","71152","ccampos@evans-thomas.com","(0116) 4960486","1117","1","6","0.04","46.01","2018-10-21","2018-11-06","1"
"218","Brandon08","Brandon Blair","507 Vasquez InletStephensside","AL","39633","lynncollins@jackson.info","(01632)960370","1118","2","20","0.85","39.38","2018-10-18","2018-12-04","1"
"219","Noah18","Noah Ingram","19128 James Passage Suite 706Parksfort","MO","64084","sandra71@oconnor-beck.info","(029) 2018002","1119","3","21","0.53","33.16","2018-10-30","2018-11-26","0"
"220","Mr.10","Mr. Andrew Allison","659 Mckay Meadows Apt. 561North Andrewfurt","OK","34223","william53@jones-ross.net","(0116)4960689","1120","10","8","0.21","21.73","2018-10-28","2018-12-16","0"
"221","Adriana31","Adriana Beck","1902 Johnson CentersNew Michael","SD","77398","john49@gmail.com","+44115 496 0530","1121","9","7","0.82","38.53","2018-10-27","2018-11-23","0"
"223","Brenda17","Brenda Walker","0421 Carol Canyon Suite 230Pachecoville","VA","80512","jamesthomas@yahoo.com","+4428 9018841","1123","10","29","0.52","90.68","2018-10-09","2018-12-25","1"
"224","Stephanie28","Stephanie Carney","4509 Tina Squares Apt. 428East Mark","MD","45746","leemichael@williams.net","+44(0)29 2018 0738","1124","8","17","0.43","64.66","2018-10-17","2018-11-07","0"
"225","Aaron14","Aaron Long","7069 Bryan Village Suite 532East Jason","NY","49731","vrichardson@gmail.com","+44(0)161 496 0672","1125","8","27","0.01","72.99","2018-10-06","2018-12-20","1"
"226","Glen09","Glen Miller","926 Dunn Gardens Suite 693Jamesberg","VA","36529","kellyjames@griffith.org","+44(0)114 496 0311","1126","4","16","0.65","63.06","2018-10-26","2018-12-28","0"
"228","Jeffery28","Jeffery Smith","3300 Charles ForgeSpearsstad","MO","56706","thomashogan@hotmail.com","(028)9018621","1128","3","8","0.17","58.32","2018-10-02","2018-11-08","1"
"229","Paul21","Paul Jimenez","36440 Farley Green Apt. 702Thomasview","MA","43442","davismichael@davis.com","01184960789","1129","2","15","0.7","78.15","2018-10-23","2018-12-14","0"
"230","Aaron01","Aaron Jenkins","650 Martin Junctions Apt. 356North Dale","GA","10826","rojaserica@solis-lucero.com","029 2018109","1130","4","8","0.13","24.06","2018-10-17","2018-11-24","1"
"231","Sarah23","Sarah Daniels","59029 Mendez HillsEddieton","MS","22157","rrichards@hotmail.com","01914960918","1131","2","25","0.06","51.47","2018-10-18","2018-11-24","1"
"232","Brian07","Brian Hall","0472 Jackson MissionKimberg","CO","27167","nwalters@gmail.com","01154960583","1132","2","26","0.95","58.07","2018-10-01","2018-12-30","0"
"233","Brandon08","Brandon Boyd","9644 Kelly ViewsLake Amandaburgh","IL","80992","tstewart@oconnell.com","(0191) 4960771","1133","2","23","0.68","37.97","2018-10-19","2018-12-13","1"
"234","Aaron17","Aaron Gonzalez","6004 Todd StreetAaronside","SD","62574","pbradley@griffin-santos.com","+44(0)117 4960138","1134","9","5","0.31","49.47","2018-10-08","2018-11-27","1"
"235","Robert29","Robert Navarro","1808 Meyer FordAnnefurt","MD","68747","umiller@hotmail.com","+44(0)141 4960154","1135","1","27","0.07","80.95","2018-10-30","2018-12-07","1"
"236","Paul21","Paul Boone","20987 Dickson Fort Suite 763Ashleystad","AK","53088","rileymitchell@gmail.com","+44(0)1614960162","1136","6","16","0.01","67.75","2018-10-20","2018-11-14","0"
"237","Jessica12","Jessica Escobar","10122 Jonathan PathGriffinland","TX","13248","paguilar@sanchez.com","+44(0)9098790040","1137","6","24","0.98","35.34","2018-10-25","2018-12-30","1"
"238","Tyrone31","Tyrone Shaffer","0084 Shannon Square Apt. 115Gravesville","IN","10093","sharon90@yahoo.com","+441184960283","1138","4","12","0.11","62.7","2018-10-17","2018-12-06","1"
"239","Mariah17","Mariah Young","2787 Amanda Station Apt. 655West Kaitlynstad","WA","49930","bergjoseph@hotmail.com","0161 496 0362","1139","2","23","0.82","63.72","2018-10-01","2018-12-02","1"
"240","Charles03","Charles Mcneil","43933 Owens PlazaSheriton","OK","04602","mary37@reynolds.com","+44131 496 0555","1140","1","16","0.45","34.91","2018-10-10","2018-12-10","0"
"241","Dylan25","Dylan Garcia","266 Christopher CapeLake Dustin","DC","08856","walkerstephanie@ayers-wright.com","01632 960 794","1141","6","27","0.37","28.12","2018-10-24","2018-11-11","0"
"243","Michael26","Michael Sanders","7660 Brittany Green Suite 850South Carriechester","NY","77271","harrisontami@hotmail.com","+44(0)909 879 0044","1143","7","8","0.26","52.03","2018-10-10","2018-12-29","1"
"244","Michael21","Michael Little","7635 Crawford Street Suite 329Watsonburgh","ND","06075","danny74@perez.info","+44(0)808 1570968","1144","10","5","0.21","94.93","2018-10-14","2018-11-08","1"
"245","Craig07","Craig Holmes","65144 Silva GrovesThompsonside","DC","20716","leeann@bush-gibson.com","+44161 4960026","1145","6","21","0.19","49.86","2018-10-05","2018-12-23","1"
"246","Thomas19","Thomas Banks","7595 Robertson Circle Suite 435Alextown","MI","52778","anneobrien@lloyd.com","020 74960248","1146","9","19","0.58","95.62","2018-10-16","2018-11-27","0"
"247","Kiara26","Kiara Cochran","9182 Anthony Greens Suite 056West Donald","SD","29420","qguzman@hotmail.com","08081570922","1147","4","17","0.37","93.78","2018-10-02","2018-12-10","1"
"248","Anne29","Anne Martin","92834 Paula Springs Suite 379Teresafurt","NH","34407","teresa88@gmail.com","(0116)4960671","1148","9","17","0.28","63.3","2018-10-26","2018-12-10","0"
"250","Jay15","Jay Reed III","42996 Meyer ManorLake Mariomouth","KY","86114","mckinneydylan@conley.org","0808 157 0141","1150","1","14","0.87","92.69","2018-10-10","2018-11-19","1"
"251","Danny18","Danny Shepherd","6204 Olsen GreenSouth Kyle","MT","46016","phinton@gmail.com","0114 496 0737","1151","5","21","0.09","32.48","2018-10-06","2018-11-01","1"
"252","Danielle15","Danielle Jenkins","20867 Erik MewsNorth Ian","RI","67445","misty51@yahoo.com","+44(0)115 496 0757","1152","10","26","0.23","90.29","2018-10-18","2018-12-23","0"
